method,sigma_level,n_seeds,mean,ci_low,ci_high
pure_ml_astar,0.0,5,1.0000365057123162,1.0,1.0001095171369485
pure_ml_astar,0.1,5,1.006014858279014,1.0001400012356834,1.0121344295909673
pure_ml_astar,0.2,5,1.3091003986533387,1.1203541529575887,1.4933437751028356
pure_ml_astar,0.5,5,1.5121665658519947,1.3074945047928885,1.6701167050939305
pure_ml_astar,1.0,5,1.6923007077430974,1.3870363983821832,1.9507641525639325
pure_ml_astar,2.0,5,2.4967203982087094,1.6636808785653225,3.507466330382175
robust_astar,0.0,5,1.019302774948358,1.0,1.0571251029128181
robust_astar,0.1,5,1.0224325612221765,1.000391610966128,1.0598632782205086
robust_astar,0.2,5,1.0468572520471149,1.011278910269736,1.082435593824494
robust_astar,0.5,5,1.1132722078260406,1.069073900152448,1.1503840163898018
robust_astar,1.0,5,1.1649785986631276,1.1155801848912565,1.2366914295657534
robust_astar,2.0,5,1.2257230283573186,1.176416102606804,1.2750299541078334
